Date,Open,High,Low,Close,Volume,Name
2023-09-11,26.9,26.9,26.84,26.856,896,UBR
2023-09-12,27.1107,27.1107,27.1107,27.1107,90,UBR
2023-09-13,27.7489,27.7489,27.7489,27.7489,145,UBR
2023-09-14,28.19,28.87,28.19,28.7732,2779,UBR
2023-09-15,28.5391,28.5391,28.5391,28.5391,100,UBR
2023-09-18,28.4765,28.4765,28.4765,28.4765,215,UBR
2023-09-19,28.4,28.51,28.1672,28.1672,1340,UBR
2023-09-20,28.3369,28.4408,28.3369,28.4408,552,UBR
2023-09-21,26.6401,26.71,26.4854,26.4854,1270,UBR
2023-09-22,26.3891,26.3891,26.3891,26.3891,185,UBR
2023-09-25,26.33,26.33,25.8842,26.057,433,UBR
2023-09-26,25.53,25.53,25.0801,25.0801,712,UBR
2023-09-27,24.41,24.42,24.26,24.42,472,UBR
2023-09-28,24.33,25.0996,24.33,25.0996,753,UBR
2023-09-29,25.4,25.5294,25.4,25.5294,488,UBR
2023-10-02,24.8,24.8,24.2701,24.5072,906,UBR
2023-10-03,23.5535,23.5535,22.89,22.9574,1175,UBR
2023-10-04,23.01,23.15,23.01,23.0743,339,UBR
2023-10-05,23.04,23.04,22.6,22.796,2093,UBR
2023-10-06,22.08,23.24,21.8242,23.239,1046,UBR
2023-10-09,23.1,23.874,23.1,23.874,232,UBR
2023-10-10,25,25.27,25,25.2484,517,UBR
2023-10-11,25.29,25.4,25.29,25.39,541,UBR
2023-10-12,24.4356,24.4356,24.4356,24.4356,203,UBR
2023-10-13,25,25,24.555,24.5702,643,UBR
2023-10-16,25.35,25.4032,25.35,25.4032,391,UBR
2023-10-17,25.2268,25.2268,25.2268,25.2268,120,UBR
2023-10-18,24.4804,24.4804,24.2986,24.2986,507,UBR
2023-10-19,24.14,24.3333,24.14,24.3333,103,UBR
2023-10-20,23.8041,24.0136,23.8041,24.0136,281,UBR
2023-10-23,23.58,23.99,23.58,23.7941,745,UBR
2023-10-24,24.15,24.55,24.15,24.501,528,UBR
2023-10-25,23.9845,23.9845,23.9845,23.9845,222,UBR
2023-10-26,24.37,24.8952,24.1757,24.8952,674,UBR
2023-10-27,25.54,25.54,23.8398,23.95,1392,UBR
2023-10-30,24.51,24.57,23.09,23.09,5610,UBR
2023-10-31,23.3437,23.6527,23.3437,23.6527,429,UBR
2023-11-01,24.26,25.117,24.26,25.117,1471,UBR
2023-11-02,25.69,26.53,25.69,26.53,1127,UBR
2023-11-03,27.22,27.22,27.0867,27.0867,850,UBR
2023-11-06,27.25,27.2929,27.25,27.2929,546,UBR
2023-11-07,27.65,27.6561,27.65,27.6561,832,UBR
2023-11-08,27.2299,27.24,27.2299,27.24,448,UBR
2023-11-09,27.68,27.77,26.67,26.8654,4509,UBR
2023-11-10,27.895,28,27.8388,27.8388,482,UBR
2023-11-13,27.7897,27.7897,27.7897,27.7897,5,UBR
2023-11-14,29.63,29.63,29.4797,29.5241,1857,UBR
2023-11-15,30.14,30.334,29.7501,29.9359,3453,UBR
2023-11-16,29.96,30.15,29.86,30.15,3629,UBR
2023-11-17,29.61,29.711,29.61,29.705,1129,UBR
2023-11-20,30.6298,30.8453,30.59,30.8453,767,UBR
2023-11-21,30.43,30.43,30.23,30.24,1008,UBR
2023-11-22,30.495,30.54,30.23,30.23,1521,UBR
2023-11-24,30.2282,30.2282,30.2,30.2,762,UBR
2023-11-27,30.0876,30.0876,30.0876,30.0876,2,UBR
2023-11-28,30.6601,30.97,30.6601,30.7781,1768,UBR
2023-11-29,30.51,30.51,30.2273,30.2273,977,UBR
2023-11-30,29.92,30.55,29.92,30.55,1708,UBR
2023-12-01,31.29,31.29,31.21,31.21,1534,UBR
2023-12-04,30.1417,30.1417,29.8213,29.8213,598,UBR
2023-12-05,29.81,30.25,29.81,30.0217,581,UBR
2023-12-06,30.34,30.34,29.8154,29.8154,1312,UBR
2023-12-07,30.26,30.26,29.72,29.7674,1498,UBR
2023-12-08,29.7972,30.2049,29.7972,30.1884,1784,UBR
2023-12-11,29.85,29.9947,29.85,29.9947,2561,UBR
2023-12-12,29.23,29.3473,29.2,29.3473,440,UBR
2023-12-13,29.98,31.48,29.6,31.48,12581,UBR
2023-12-14,32.38,32.4,32.151,32.2503,1868,UBR
2023-12-15,31.4473,31.4473,31.4473,31.4473,64,UBR
2023-12-18,32.565,32.565,32.37,32.5103,5979,UBR
2023-12-19,33.1935,33.44,33.15,33.3142,2303,UBR
2023-12-20,32.68,32.7,31.41,31.41,1351,UBR
2023-12-21,32.61,32.8542,32.61,32.8542,811,UBR
2023-12-22,33.26,33.4468,33.19,33.4468,985,UBR
2023-12-26,33.58,34.25,33.58,34.25,806,UBR
2023-12-27,34.53,34.53,34.53,34.53,934,UBR
2023-12-28,34.22,34.3231,34.2,34.3231,845,UBR
2023-12-29,34.48,34.48,33.8948,33.8948,752,UBR
2024-01-02,33.19,33.5662,32.7672,32.7672,2008,UBR
2024-01-03,32.41,33.33,32.41,32.98,2637,UBR
2024-01-04,32.4968,32.4968,32.21,32.3007,1800,UBR
2024-01-05,33.34,33.34,32.845,32.9663,1500,UBR
2024-01-08,32.65,33.1337,32.65,33.1337,1538,UBR
2024-01-09,32.2,32.49,32.1652,32.1652,2658,UBR
2024-01-10,32.1356,32.1356,32.1356,32.1356,241,UBR
2024-01-11,31.9,32.3329,31.9,32.3329,1182,UBR
2024-01-12,32.85,32.85,32.7177,32.7177,437,UBR
2024-01-16,31.2799,31.2799,30.85,31.0858,1151,UBR
2024-01-17,30.6301,30.7447,30.6301,30.7447,396,UBR
2024-01-18,29.96,30.2,29.96,30.1808,920,UBR
2024-01-19,29.795,30.052,29.795,30.052,266,UBR
2024-01-22,29.42,29.76,28.601,28.8523,3333,UBR
2024-01-23,29.4,29.8962,29.35,29.8962,3905,UBR
2024-01-24,30.2801,30.2801,29.9423,29.9423,390,UBR
2024-01-25,30.171,30.42,30.171,30.42,1794,UBR
2024-01-26,30.8361,30.8361,30.8361,30.8361,51,UBR
2024-01-29,30.18,30.1888,30.18,30.1888,359,UBR
2024-01-30,29.739,29.754,29.3174,29.754,1668,UBR
2024-01-31,29.8347,29.8347,29.8347,29.8347,73,UBR
2024-02-01,30.21,30.5575,30.21,30.5575,241,UBR
2024-02-02,29.071,29.4145,29.071,29.4145,500,UBR
2024-02-05,29.4474,29.4474,29.4474,29.4474,45,UBR
2024-02-06,30.81,31.0041,30.81,31.0041,360,UBR
2024-02-07,30.47,30.6026,30.47,30.6026,1323,UBR
2024-02-08,30.25,30.25,29.4087,29.4087,198,UBR
2024-02-09,29.7,29.8077,29.7,29.8077,811,UBR
2024-02-12,30.4568,30.4568,30.4568,30.4568,63,UBR
2024-02-13,28.4601,28.79,28.4601,28.79,643,UBR
2024-02-14,29.07,29.07,29.0462,29.0462,503,UBR
2024-02-15,29.04,29.5,29.04,29.48,704,UBR
2024-02-16,29.9903,30.0324,29.811,30.0324,375,UBR
2024-02-20,30.96,31.003,30.7668,31.003,1828,UBR
2024-02-21,31.05,31.05,30.919,30.9973,1109,UBR
2024-02-22,30.6206,30.6206,30.6206,30.6206,350,UBR
2024-02-23,30.0583,30.0583,30.0583,30.0583,83,UBR
2024-02-26,30.42,30.42,30.23,30.2865,3263,UBR
2024-02-27,31.3709,31.74,31.36,31.7207,3827,UBR
2024-02-28,30.94,30.94,30.28,30.48,533,UBR
2024-02-29,29.7057,29.7057,29.7057,29.7057,220,UBR
2024-03-01,29.9754,29.9754,29.9754,29.9754,94,UBR
2024-03-04,29.68,29.78,29.648,29.648,1424,UBR
2024-03-05,29.485,29.485,29.3943,29.3943,866,UBR
2024-03-06,29.9173,29.9173,29.9173,29.9173,123,UBR
2024-03-07,29.625,29.8262,29.625,29.8262,759,UBR
2024-03-08,28.04,28.54,28,28.3463,17331,UBR
2024-03-11,28.35,28.35,28.0241,28.0241,980,UBR
2024-03-12,28.7204,28.8014,28.7204,28.8014,258,UBR
2024-03-13,28.861,29.1,28.85,29.0206,6656,UBR
2024-03-14,28.5061,28.5061,28.5061,28.5061,43,UBR
2024-03-15,27.9985,27.9985,27.9985,27.9985,23,UBR
2024-03-18,28.11,28.11,27.711,27.81,1608,UBR
2024-03-19,28.27,28.27,27.9275,27.9275,307,UBR
2024-03-20,27.93,29.07,27.93,29.0096,305,UBR
2024-03-21,28.605,28.605,28.5544,28.5544,188,UBR
2024-03-22,27.757,27.8597,27.757,27.77,995,UBR
2024-03-25,27.97,27.98,27.97,27.98,334,UBR
2024-03-26,28.11,28.11,28.0039,28.0039,494,UBR
2024-03-27,27.81,28.43,27.81,28.42,220,UBR
2024-03-28,28,28.47,28,28.3329,693,UBR
2024-04-01,27.25,27.25,27.22,27.22,498,UBR
2024-04-02,27.5,27.622,27.5,27.622,118,UBR
2024-04-03,27.691,27.691,27.691,27.691,76,UBR
2024-04-04,28.98,28.98,27.51,27.51,603,UBR
2024-04-05,27.131,27.1573,27.0401,27.1573,2612,UBR
2024-04-08,28.3702,28.3702,28.3702,28.3702,333,UBR
2024-04-09,28.997,29.1372,28.94,29.1372,1435,UBR
2024-04-10,27.51,27.5734,27.51,27.5734,222,UBR
2024-04-11,27.18,27.3675,27.061,27.1643,1668,UBR
2024-04-12,26.2189,26.2189,26.2189,26.2189,155,UBR
2024-04-15,25.8,25.8,25.41,25.4495,1259,UBR
